רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	יחידה (2)	פירוט (3)																
	דברים	א	א	דברים	ד	מט	הנאום ההיסטורי																		
	דברים	א	א	דברים	א	ה	הנאום ההיסטורי	פתיחה																	
	דברים	א	ו	דברים	ג	כט	הנאום ההיסטורי	אירועים מהעבר																	
	דברים	א	ו	דברים	א	ח	הנאום ההיסטורי	אירועים מהעבר	הציווי לנסוע לארץ ולרשתה																
	דברים	א	ט	דברים	א	יח	הנאום ההיסטורי	אירועים מהעבר	מינוי השופטים																
	דברים	א	יט	דברים	א	מ	הנאום ההיסטורי	אירועים מן העבר	חטא המרגלים ועונשו																
	דברים	א	מא	דברים	ב	א	הנאום ההיסטורי	אירועים מן העבר	המעפילים ועונשם																
	דברים	ב	ב	דברים	ב	כג	הנאום ההיסטורי	אירועים מן העבר	העמים שאסור להילחם בהם																
	דברים	ב	כד	דברים	ג	כב	הנאום ההיסטורי	אירועים מן העבר	כיבוש סיחון ועוג																
	דברים	ג	כג	דברים	ג	כט	הנאום ההיסטורי	אירועים מן העבר	תחינת משה להיכנס לארץ ודחייתה																
	דברים	ד	א	דברים	ד	מ	הנאום ההיסטורי	לקחים																	
	דברים	ד	א	דברים	ד	ד	הנאום ההיסטורי	לקחים	שמירת המצות כתנאי לחיים בארץ																
	דברים	ד	ה	דברים	ד	ח	הנאום ההיסטורי	לקחים	מעלת המצוות וערכן גם בעיני העמים																
	דברים	ד	ט	דברים	ד	כד	הנאום ההיסטורי	לקחים	חשיבות זכירת מעמד הר סיני																
	דברים	ד	כה	דברים	ד	מ	הנאום ההיסטורי	לקחים	"חטא, גלות והבטחת גאולה"																
	דברים	ד	מא	דברים	ד	מט	הנאום ההיסטורי	סיום																	
	דברים	ד	מא	דברים	ד	מג	הנאום ההיסטורי	סיום	הבדלת ערי המקלט בעבר הירדן																
	דברים	ד	מד	דברים	ד	מט	הנאום ההיסטורי	סיום	חתימה																
	דברים	ה	א	דברים	כו	יט	נאום המצוות																		
	דברים	ה	א	דברים	יא	לב	נאום המצוות	הקדמה רעיונית - מצוות האמונה																	
	דברים	ה	א	דברים	ה	ה	נאום המצוות	הקדמה רעיונית - מצוות האמונה	פתיחה - כריתת הברית בחורב																
	דברים	ה	ו	דברים	ה	יח	נאום המצוות	הקדמה רעיונית - מצוות האמונה	עשרת הדיברות																
	דברים	ה	יט	דברים	ה	כח	נאום המצוות	הקדמה רעיונית - מצוות האמונה	בקשת העם לשמוע את התורה מפי משה																
