רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	אנגלית	יחידה (2)	אנגלית	פירוט (3)	אנגלית															
	שמות	א	א	שמות	יג	טז	במצרים	Egypt
	שמות	א	א	שמות	ב	כה	במצרים		השעבוד	The Enslavement																	
	שמות	א	א	שמות	א	ז	במצרים		השעבוד		משבטים לעם	A Family Becomes a Nation															
	שמות	א	ח	שמות	א	יד	במצרים		השעבוד		עבודת פרך	Hard Labor															
	שמות	א	טו	שמות	א	כב	במצרים		השעבוד		גזירת המתת הבנים	Decree to Kill Baby Boys															
	שמות	ב	א	שמות	ב	י	במצרים		השעבוד		הולדת משה	Moshe's Birth															
	שמות	ב	יא	שמות	ב	יד	במצרים		השעבוד		יציאת משה אל אחיו	Moshe Sees his Kin															
	שמות	ב	טו	שמות	ב	כב	במצרים		השעבוד		משה במדין 	Moshe in Midian															
	שמות	ב	כג	שמות	ו	א	במצרים		השליחות הראשונה של משה	Moshe's First Mission																	
	שמות	ב	כג	שמות	ב	כה	במצרים		השליחות הראשונה של משה		שוועת ישראל וזכירת הברית	Hearing Israel's Cry - Remembering the Covenant															
	שמות	ג	א	שמות	ד	יז	במצרים		השליחות הראשונה של משה		מעמד הסנה	The Burning Bush															
	שמות	ד	יח	שמות	ד	כו	במצרים		השליחות הראשונה של משה		החזרה למצרים ומילת הבן	The Return to Egypt and the Circumcision															
	שמות	ד	כז	שמות	ד	לא	במצרים		השליחות הראשונה של משה		הפגישה עם אהרן ועשיית האותות	Meeting Aharon and Performing the Signs															
	שמות	ה	א	שמות	ה	כא	במצרים		השליחות הראשונה של משה		הפגישה עם פרעה ותוצאותיה	Meeting with Pharaoh and its Aftermath															
	שמות	ה	כב	שמות	ו	א	במצרים		השליחות הראשונה של משה		תלונת משה ותגובת ה'	Moshe's Complaint and God's Reaction															
	שמות	ו	ב	שמות	י	כט	במצרים		השליחות השניה - המכות	The Plagues																	
	שמות	ו	ב	שמות	ו	יג	במצרים		השליחות השניה - המכות		הבטחת ה' וחידוש השליחות	God's Promise - Moshe Resumes his Mission															
	שמות	ו	יד	שמות	ו	כז	במצרים		השליחות השניה - המכות		ייחוסם של משה ואהרן	Moshe and Aharon's Ancestry															
	שמות	ו	כח	שמות	ז	ז	במצרים		השליחות השניה - המכות		הצגת התכנית האלוקית	Presenting the Divine Plan															
	שמות	ז	ח	שמות	ז	יג	במצרים		השליחות השניה - המכות		מופת התנין	The Serpent Sign															
	שמות	ז	יד	שמות	ז	כה	במצרים		השליחות השניה - המכות		מכת דם	Blood															
	שמות	ז	כו	שמות	ח	יא	במצרים		השליחות השניה - המכות		מכת צפרדע	Frogs															
	שמות	ח	יב	שמות	ח	טו	במצרים		השליחות השניה - המכות		מכת כינים	Lice															
	שמות	ח	טז	שמות	ח	כח	במצרים		השליחות השניה - המכות		מכת ערוב	Arov (Swarms)															
	שמות	ט	א	שמות	ט	ז	במצרים		השליחות השניה - המכות		מכת דבר	Diseased Livestock															
	שמות	ט	ח	שמות	ט	יב	במצרים		השליחות השניה - המכות		מכת שחין	Boils															
	שמות	ט	יג	שמות	ט	לה	במצרים		השליחות השניה - המכות		מכת ברד	Hail and Fire Storm															
	שמות	י	א	שמות	י	כ	במצרים		השליחות השניה - המכות		מכת ארבה	Locust															
	שמות	י	כא	שמות	י	כט	במצרים		השליחות השניה - המכות		מכת חושך	The Plague of Darkness															
	שמות	יא	א	שמות	יג	כב	במצרים		היציאה ממצרים	The Exodus																	
	שמות	יא	א	שמות	יא	י	במצרים		היציאה ממצרים		הכנה למכת בכורות	Preparation for the Plague of the Firstborn															
	שמות	יב	א	שמות	יב	כח	במצרים		היציאה ממצרים		הציווי על הפסח	The Pessah Sacrifice															
	שמות	יב	כט	שמות	יב	לג	במצרים		היציאה ממצרים		מכת בכורות	The Plague of the Firstborn															
	שמות	יב	לד	שמות	יב	מב	במצרים		היציאה ממצרים		היציאה ממצרים ואפיית המצות	The Exodus from Egypt; Baking Matza															
	שמות	יב	מג	שמות	יב	נא	במצרים		היציאה ממצרים		חוקת הפסח	The Laws of the Pessah Sacrifice															
	שמות	יג	א	שמות	יג	טז	במצרים		היציאה ממצרים		מצוות לזכר יציאת מצרים	Commemoration of the Exodus
