רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	אנגלית	יחידה (2)	אנגלית	פירוט (3)	אנגלית															
1	בראשית	א	א	בראשית	יא	לב	ראשית	The Beginning																			
	בראשית	א	א	בראשית	ב	ג	ראשית	The Beginning	בריאת העולם	Creation																	
	בראשית	א	א	בראשית	א	ב	ראשית	The Beginning	בריאת העולם	Creation	פתיחה לפרשת הבריאה	Introduction to Creation															
	בראשית	א	ג	בראשית	א	ה	ראשית	The Beginning	בריאת העולם	Creation	יום אחד	Day One															
	בראשית	א	ו	בראשית	א	ח	ראשית	The Beginning	בריאת העולם	Creation	יום שני	Day Two	E														
	בראשית	א	ט	בראשית	א	יג	ראשית	The Beginning	בריאת העולם	Creation	יום שלישי	Day Three	E														
	בראשית	א	יד	בראשית	א	יט	ראשית	The Beginning	בריאת העולם	Creation	יום רביעי	Day Four	E														
	בראשית	א	כ	בראשית	א	כג	ראשית	The Beginning	בריאת העולם	Creation	יום חמישי	Day Five	E														
	בראשית	א	כד	בראשית	א	לא	ראשית	The Beginning	בריאת העולם	Creation	יום השישי	Day Six	E														
	בראשית	ב	א	בראשית	ב	ג	ראשית	The Beginning	בריאת העולם	Creation	יום השביעי	Day Seven															
	בראשית	ב	ד	בראשית	ג	כד	ראשית	The Beginning	האדם וגן עדן	Garden of Eden																	
	בראשית	ב	ד	בראשית	ב	ז	ראשית	The Beginning	האדם וגן עדן	Garden of Eden	יצירת האדם	Creation of Man	מופיע פעמיים בשתי שפות...														
	בראשית	ב	ח	בראשית	ב	טו	ראשית	The Beginning	האדם וגן עדן	Garden of Eden	הצבת האדם בגן	Adam is Placed in the Garden of Eden															
	בראשית	ב	טז	בראשית	ב	יח	ראשית	The Beginning	האדם וגן עדן	Garden of Eden	איסור האכילה מעץ הדעת	The Tree of Knowledge															
	בראשית	ב	יח	בראשית	ב	כה	ראשית	The Beginning	האדם וגן עדן	Garden of Eden	יצירת האשה	Creation of Woman															
	בראשית	ג	א	בראשית	ג	ז	ראשית	The Beginning	האדם וגן עדן	Garden of Eden	חטא עץ הדעת	The Sin of the Tree of Knowledge															
	בראשית	ג	ח	בראשית	ג	כא	ראשית	The Beginning	האדם וגן עדן	Garden of Eden	העונש	Punishment 															
	בראשית	ג	כב	בראשית	ג	כד	ראשית	The Beginning	האדם וגן עדן	Garden of Eden	גירוש האדם מגן עדן	Banishment from the Garden of Eden															
	בראשית	ד	א	בראשית	ד	טז	ראשית	The Beginning	קין והבל	Cain and Hevel																	
	בראשית	ד	א	בראשית	ד	ז	ראשית	The Beginning	קין והבל	Cain and Hevel	קין והבל ומנחתם	Cain and Hevel's Offerings															
	בראשית	ד	ח	בראשית	ד	ח	ראשית	The Beginning	קין והבל	Cain and Hevel	הריגת קין את הבל	Cain Kills Hevel															
	בראשית	ד	ט	בראשית	ד	טז	ראשית	The Beginning	קין והבל	Cain and Hevel	עונשו של קין	Cain's Punishment															
	בראשית	ד	יז	בראשית	ה	לב	ראשית	The Beginning	ספרי תולדות	Book of Descendants																	
	בראשית	ד	יז	בראשית	ד	יח	ראשית	The Beginning	ספרי תולדות		תולדות קין	Cain's Descendants															
	בראשית	ד	יט	בראשית	ד	כד	ראשית	The Beginning	ספרי תולדות		"למך, נשיו ובניו"	Lemekh's Wives and Descendants															
	בראשית	ד	כה	בראשית	ד	כו	ראשית	The Beginning	ספרי תולדות		לידת שת ואנוש	The Birth of Shet and Enosh															
	בראשית	ה	א	בראשית	ה	לב	ראשית	The Beginning	ספרי תולדות		תולדות אדם עד נח	Generations from Adam to Noah															
	בראשית	ו	א	בראשית	ו	ד	ראשית	The Beginning	בני האלהים ובנות האדם	The Sons of God and Daughters of Man																	
	בראשית	ו	ה	בראשית	ט	יז	ראשית	The Beginning	המבול	The Flood																	
	בראשית	ו	ה	בראשית	ו	יב	ראשית	The Beginning	המבול		השחתת הארץ וצדקת נח	The Corruption of the Land and Noah's Righteousness															
	בראשית	ו	יג	בראשית	ז	ט	ראשית	The Beginning	המבול		בניית התיבה	Noah Builds an Ark															
	בראשית	ז	י	בראשית	ז	כד	ראשית	The Beginning	המבול		המבול ומחיית היקום	The Flood and the Destruction															
	בראשית	ח	א	בראשית	ח	יד	ראשית	The Beginning	המבול		סיום המבול	The End of the Flood															
	בראשית	ח	טו	בראשית	ח	כב	ראשית	The Beginning	המבול		היציאה מן התיבה	Leaving the Ark															
	בראשית	ט	א	בראשית	ט	ז	ראשית	The Beginning	המבול		הברכה לנח	God Blesses Noah															
	בראשית	ט	ח	בראשית	ט	יז	ראשית	The Beginning	המבול		ברית הקשת	The Rainbow Covenant															
	בראשית	ט	יח	בראשית	יא	ט	ראשית	The Beginning	בני נח והפצתם על הארץ	Noah's Descendants 																	
	בראשית	ט	יח	בראשית	ט	כט	ראשית	The Beginning	בני נח והפצתם על הארץ		שכרות נח	Noah's Drunkenness															
	בראשית	י	א	בראשית	י	לב	ראשית	The Beginning	בני נח והפצתם על הארץ		תולדות בני נח	Descendants of Noah's Sons															
	בראשית	יא	א	בראשית	יא	ט	ראשית	The Beginning	בני נח והפצתם על הארץ		מגדל בבל	The Tower of Bavel															
	בראשית	יא	י	בראשית	יא	לב	ראשית	The Beginning	מנח עד אברהם	From Noah to Avraham																	
	בראשית	יא	י	בראשית	יא	כו	ראשית	The Beginning	מנח עד אברהם		תולדות שם עד תרח	From Shem to Terah															
	בראשית	יא	כז	בראשית	יא	לב	ראשית	The Beginning	מנח עד אברהם		תולדות תרח והליכתו לחרן	Terah and his Departure for Haran															
2	בראשית	יב	א	בראשית	כה	יח	אברהם	Avraham																			
	בראשית	יב	א	בראשית	יב	ט	אברהם	Avraham	הליכת אברם לארץ כנען	Avram's Journey to Canaan																	
	בראשית	יב	א	בראשית	יב	ה	אברהם	Avraham	הליכת אברם לארץ כנען		היציאה מחרן לכנען	Departure from Haran to Canaan															
	בראשית	יב	ו	בראשית	יב	ט	אברהם	Avraham	הליכת אברם לארץ כנען		הליכה בארץ וקריאה בשם ה'	Avram Walks through Canaan and Calls in the Name of God 															
	בראשית	יב	י	בראשית	יב	כ	אברהם	Avraham	ירידת אברם למצרים	Avram's Descent to Egypt																	
	בראשית	יב	י	בראשית	יב	י	אברהם	Avraham	ירידת אברם למצרים		הרעב בכנען והירידה למצרים	The Famine in Canaan and the Descent to Egypt															
	בראשית	יב	יא	בראשית	יב	כ	אברהם	Avraham	ירידת אברם למצרים		לקיחת שרי לבית פרעה	Sarai is Taken to Pharaoh's Palace															
	בראשית	יג	א	בראשית	יג	יח	אברהם	Avraham	פרידת לוט מאברם	Lot Separates from Avraham																	
	בראשית	יג	א	בראשית	יג	ד	אברהם	Avraham	פרידת לוט מאברם		חזרת אברם לארץ כנען	Avram Returns to Canaan															
	בראשית	יג	ה	בראשית	יג	יג	אברהם	Avraham	פרידת לוט מאברם		הפרידה	The Separation															
	בראשית	יג	יד	בראשית	יג	יח	אברהם	Avraham	פרידת לוט מאברם		הבטחת הארץ לאברם	God Promises Avram the Land of Canaan															
	בראשית	יד	א	בראשית	יד	כד	אברהם	Avraham	מלחמת המלכים	War of the Kings																	
	בראשית	יד	א	בראשית	יד	יב	אברהם	Avraham	מלחמת המלכים		המלחמה ולקיחת לוט בשבי	The War of the Kings and Lot's Captivity															
	בראשית	יד	יג	בראשית	יד	טז	אברהם	Avraham	מלחמת המלכים		נצחון אברם ושחרור לוט	Avraham's Victory and Release of Lot															
	בראשית	יד	יז	בראשית	יד	כד	אברהם	Avraham	מלחמת המלכים		מלכיצדק ומלך סדום	Malkitzedek and the King of Sodom															
	בראשית	טו	א	בראשית	טו	כא	אברהם	Avraham	ברית בין הבתרים	Covenant Between the Pieces																	
