רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	יחידה (2)	פירוט (3)																	
	מלכים א	א	א	מלכים א	יא	מג	מלכות שלמה																			
	מלכים א	א	א	מלכים א	ה	יד	מלכות שלמה	ראשית מלכות שלמה וביסוסה																		
	מלכים א	א	א	מלכים א	א	ד	מלכות שלמה	ראשית מלכות שלמה וביסוסה	דוד ואבישג השונמית																	
	מלכים א	א	ה	מלכים א	א	נג	מלכות שלמה	ראשית מלכות שלמה וביסוסה	מרד אדוניה																	
	מלכים א	ב	א	מלכים א	ב	יב	מלכות שלמה	ראשית מלכות שלמה וביסוסה	צוואת דוד																	
	מלכים א	ב	יג	מלכים א	ב	כה	מלכות שלמה	ראשית מלכות שלמה וביסוסה	הריגת אדוניה																	
	מלכים א	ב	כו	מלכים א	ב	כז	מלכות שלמה	ראשית מלכות שלמה וביסוסה	גירוש אביתר לענתות																	
	מלכים א	ב	כח	מלכים א	ב	לה	מלכות שלמה	ראשית מלכות שלמה וביסוסה	הריגת יואב בן צרויה																	
	מלכים א	ב	לו	מלכים א	ב	מו	מלכות שלמה	ראשית מלכות שלמה וביסוסה	הריגת שמעי בן גרא																	
	מלכים א	ג	א	מלכים א	ג	ג	מלכות שלמה	ראשית מלכות שלמה וביסוסה	נישואי שלמה ובת פרעה																	
	מלכים א	ג	ד	מלכים א	ג	טו	מלכות שלמה	ראשית מלכות שלמה וביסוסה	התגלות ה' לשלמה בגבעון																	
	מלכים א	ג	טז	מלכים א	ג	כח	מלכות שלמה	ראשית מלכות שלמה וביסוסה	משפט שלמה																	
	מלכים א	ד	א	מלכים א	ד	כ	מלכות שלמה	ראשית מלכות שלמה וביסוסה	השרים והנצבים בממלכת שלמה																	
	מלכים א	ה	א	מלכים א	ה	ח	מלכות שלמה	ראשית מלכות שלמה וביסוסה	השפע בימי שלמה																	
	מלכים א	ה	ט	מלכים א	ה	יד	מלכות שלמה	ראשית מלכות שלמה וביסוסה	חכמת שלמה																	
	מלכים א	ה	טו	מלכים א	ט	ט	מלכות שלמה	בניית בית ה' ובית המלך																		
	מלכים א	ה	טו	מלכים א	ה	לב	מלכות שלמה	בניית בית ה' ובית המלך	ההסכם בין שלמה וחירם מלך צור																	
	מלכים א	ו	א	מלכים א	ו	י	מלכות שלמה	בניית בית ה' ובית המלך	בניית בית המקדש																	
	מלכים א	ו	יא	מלכים א	ו	יג	מלכות שלמה	בניית בית ה' ובית המלך	התגלות ה' לשלמה																	
	מלכים א	ו	יד	מלכים א	ו	כב	מלכות שלמה	בניית בית ה' ובית המלך	ציפוי ההיכל והדביר																	
	מלכים א	ו	כג	מלכים א	ו	כח	מלכות שלמה	בניית בית ה' ובית המלך	עשיית הכרובים																	
	מלכים א	ו	כט	מלכים א	ו	לח	מלכות שלמה	בניית בית ה' ובית המלך	קירות הבית ודלתותיו																	
	מלכים א	ז	א	מלכים א	ז	יב	מלכות שלמה	בניית בית ה' ובית המלך	בניית בית המלך																	
	מלכים א	ז	יג	מלכים א	ז	נא	מלכות שלמה	בניית בית ה' ובית המלך	כלי המקדש																	
	מלכים א	ח	א	מלכים א	ח	יא	מלכות שלמה	בניית בית ה' ובית המלך	העלאת הארון למקדש																	
	מלכים א	ח	יב	מלכים א	ח	נג	מלכות שלמה	בניית בית ה' ובית המלך	תפילת שלמה																	
	מלכים א	ח	נד	מלכים א	ח	סא	מלכות שלמה	בניית בית ה' ובית המלך	ברכת שלמה לעם																	
