רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	יחידה (2)	פירוט (3)																	
	מלכים ב	א	א	מלכים ב	ח		פרקי אלישע																			
	מלכים ב	א	א	מלכים ב	ב	יח	פרקי אלישע	סוף ימי אליהו																		
	מלכים ב	א	א	מלכים ב	א	יח	פרקי אלישע	סוף ימי אליהו	מחלת אחזיה ומותו																	
	מלכים ב	ב	א	מלכים ב	ב	יח	פרקי אלישע	סוף ימי אליהו	עליית אליהו בסערה השמימה																	
	מלכים ב	ב	יט	מלכים ב	ב	כה	פרקי אלישע	ניסי אלישע																		
	מלכים ב	ב	יט	מלכים ב	ב	כב	פרקי אלישע	ניסי אלישע	נס ריפוי מי יריחו																	
	מלכים ב	ב	כג	מלכים ב	ב	כה	פרקי אלישע	ניסי אלישע	אלישע והדובים																	
	מלכים ב	ג	א	מלכים ב	ג	ג	פרקי אלישע	מלכות יהורם (ישראל)																		
	מלכים ב	ג	ד	מלכים ב	ח	טו	פרקי אלישע	ניסי אלישע																		
	מלכים ב	ג	ד	מלכים ב	ג	כז	פרקי אלישע	ניסי אלישע	מלחמת יהורם ויהושפט במואב																	
	מלכים ב	ד	א	מלכים ב	ד	ז	פרקי אלישע	ניסי אלישע	נס אסוך השמן																	
	מלכים ב	ד	ח	מלכים ב	ד	לז	פרקי אלישע	ניסי אלישע	אלישע והאשה השונמית																	
	מלכים ב	ד	לח	מלכים ב	ד	מד	פרקי אלישע	ניסי אלישע	נסים בזמן הרעב																	
	מלכים ב	ה	א	מלכים ב	ה	כז	פרקי אלישע	ניסי אלישע	רפוי צרעת נעמן																	
	מלכים ב	ו	א	מלכים ב	ו	ז	פרקי אלישע	ניסי אלישע	נס הצפת הברזל																	
	מלכים ב	ו	ח	מלכים ב	ו	כג	פרקי אלישע	ניסי אלישע	לכידת גדודי ארם																	
	מלכים ב	ו	כד	מלכים ב	ז	כ	פרקי אלישע	ניסי אלישע	מצור ארם על שומרון																	
	מלכים ב	ח	א	מלכים ב	ח	ו	פרקי אלישע	ניסי אלישע	השבת רכוש השונמית																	
	מלכים ב	ח	ז	מלכים ב	ח	טו	פרקי אלישע	ניסי אלישע	המלכת חזאל על ארם																	
	מלכים ב	ח	טז	מלכים ב	יז	מא	מיהוא עד חורבן שומרון																			
	מלכים ב	ח	טז	מלכים ב	ח	כד	מיהוא עד חורבן שומרון	מלכות יהורם (יהודה)																		
	מלכים ב	ח	כה	מלכים ב	ח	כט	מיהוא עד חורבן שומרון	מלכות אחזיה (יהודה)																		
	מלכים ב	ט	א	מלכים ב	י	לו	מיהוא עד חורבן שומרון	מלכות יהוא (ישראל)																		
	מלכים ב	ט	א	מלכים ב	ט	כח	מיהוא עד חורבן שומרון	מלכות יהוא (ישראל)	משיחת יהוא																	
	מלכים ב	ט	כט	מלכים ב	ט	לז	מיהוא עד חורבן שומרון	מלכות יהוא (ישראל)	הריגת איזבל																	
	מלכים ב	י	א	מלכים ב	י	יז	מיהוא עד חורבן שומרון	מלכות יהוא (ישראל)	השמדת בית אחאב																	
	מלכים ב	י	יח	מלכים ב	י	כט	מיהוא עד חורבן שומרון	מלכות יהוא (ישראל)	השמדת עבודת הבעל																	
	מלכים ב	י	ל	מלכים ב	י	לו	מיהוא עד חורבן שומרון	מלכות יהוא (ישראל)	סיום מלכות יהוא																	
	מלכים ב	יא	א	מלכים ב	יא	כ	מיהוא עד חורבן שומרון	מלכות עתליה והמלכת יואש (יהודה)																		
	מלכים ב	יב	א	מלכים ב	יב	כב	מיהוא עד חורבן שומרון	מלכות יהואש (יהודה)																		
	מלכים ב	יג	א	מלכים ב	יג	ט	מיהוא עד חורבן שומרון	מלכות יהואחז (ישראל)																		
	מלכים ב	יג	י	מלכים ב	יג	כה	מיהוא עד חורבן שומרון	מלכות יהואש (ישראל)																		
	מלכים ב	יד	א	מלכים ב	יד	כב	מיהוא עד חורבן שומרון	מלכות אמציה (יהודה)																		
	מלכים ב	יד	כג	מלכים ב	יד	כט	מיהוא עד חורבן שומרון	מלכות ירבעם השני (ישראל)																		
	מלכים ב	טו	א	מלכים ב	טו	ז	מיהוא עד חורבן שומרון	מלכות עוזיה (יהודה)																		
	מלכים ב	טו	ח	מלכים ב	טו	יב	מיהוא עד חורבן שומרון	מלכות זכריה (ישראל)																		
	מלכים ב	טו	יג	מלכים ב	טו	כב	מיהוא עד חורבן שומרון	הריגת שלום ומלכות מנחם (ישראל)																		
	מלכים ב	טו	כג	מלכים ב	טו	כו	מיהוא עד חורבן שומרון	מלכות פקחיה (ישראל)																		
	מלכים ב	טו	כז	מלכים ב	טו	לא	מיהוא עד חורבן שומרון	מלכות פקח (ישראל)																		
	מלכים ב	טו	לב	מלכים ב	טו	לח	מיהוא עד חורבן שומרון	מלכות יותם (יהודה)																		
