רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	תרגום	יחידה (2)	תרגום	פירוט (3)	תרגום															
	יהושע	א	א	יהושע	ה	טו	הכניסה לארץ	Into the Land																			
	יהושע	א	א	יהושע	א	יח	הכניסה לארץ		הכנות לקראת הכניסה לארץ	Preparing to Enter the Land																	
	יהושע	א	א	יהושע	א	ט	הכניסה לארץ		הכנות לקראת הכניסה לארץ		חיזוק יהושע	Encouragement for Yehoshua															
	יהושע	א	י	יהושע	א	יא	הכניסה לארץ		הכנות לקראת הכניסה לארץ		הציווי לשוטרי העם	Instructions for the Officials															
	יהושע	א	יב	יהושע	א	יח	הכניסה לארץ		הכנות לקראת הכניסה לארץ		הציווי לשנים וחצי השבטים	Instructions for the Two and a Half Tribes															
	יהושע	ב	א	יהושע	ב	כד	הכניסה לארץ		המרגלים ביריחו	The Spies in Jericho																	
	יהושע	ג	א	יהושע	ה	א	הכניסה לארץ		חציית הירדן	Splitting the Jordan River																	
	יהושע	ה	ב	יהושע	ה	טו	הכניסה לארץ		מעמדים	Assemblies																	
	יהושע	ה	ב	יהושע	ה	ט	הכניסה לארץ		מעמדים		ברית המילה	Brit Mila - Circumcision															
	יהושע	ה	י	יהושע	ה	יב	הכניסה לארץ		מעמדים		עשיית הפסח בגלגל	Pesach at Gilgal															
	יהושע	ה	יג	יהושע	ה	טו	הכניסה לארץ		מעמדים		התגלות שר צבא ה'	Revelation of the Divine Commander of Hosts															
	יהושע	ו	א	יהושע	יב	כד	כיבוש הארץ	Conquering the Land																			
	יהושע	ו	א	יהושע	ו	כז	כיבוש הארץ		כיבוש יריחו	Conquering Jericho																	
	יהושע	ז	א	יהושע	ח	כט	כיבוש הארץ		מלחמות העי	The Battles at Ai																	
	יהושע	ז	א	יהושע	ז	א	כיבוש הארץ		מלחמות העי		מעל עכן בחרם	Akhan's Violation of the Herem															
	יהושע	ז	ב	יהושע	ז	ה	כיבוש הארץ		מלחמות העי		נסיון כיבוש העי	The Failed Battle at Ai															
	יהושע	ז	ו	יהושע	ז	טו	כיבוש הארץ		מלחמות העי		תפילת יהושע ותשובת ה'	Yehoshua's Tefilla and God's Response															
	יהושע	ז	טז	יהושע	ז	כו	כיבוש הארץ		מלחמות העי		לכידת עכן וסקילתו	The Identification and Stoning of Akhan															
	יהושע	ח	א	יהושע	ח	כט	כיבוש הארץ		מלחמות העי		כיבוש העי	The Conquest of Ai															
	יהושע	ח	ל	יהושע	ח	לה	כיבוש הארץ		מעמד הברכה והקללה	Gathering for the Blessing and the Curse																	
	יהושע	ט	א	יהושע	ט	כז	כיבוש הארץ		הגבעונים	The Givonim																	
	יהושע	ט	א	יהושע	ט	ב	כיבוש הארץ		הגבעונים		התקבצות המלכים למלחמה	Canaanite Kings Gather for War															
	יהושע	ט	ג	יהושע	ט	כז	כיבוש הארץ		הגבעונים		ערמת הגבעונים וכריתת הברית	The Deception of the Givonim															
	יהושע	י	א	יהושע	י	מג	כיבוש הארץ		מלחמת מלכי הדרום	War with the Southern Kings																	
	יהושע	יא	א	יהושע	יא	יא	כיבוש הארץ		מלחמת מלכי הצפון	War with the Northern Kings																	
	יהושע	יא	יב	יהושע	יב	כד	כיבוש הארץ		סיכומי הכיבושים	Summary of the Conquests																	
	יהושע	יג	א	יהושע	כב	לד	ההתנחלות בארץ	Settling the Land																			
	יהושע	יג	א	יהושע	יג	ו	ההתנחלות בארץ		הארץ הנשארת	Unconquered Land																	
	יהושע	יג	ז	יהושע	יג	לג	ההתנחלות בארץ		נחלות שבטי עבר הירדן	Tribal Portions of Land East of the Jordan																	
	יהושע	יג	ז	יהושע	יג	יד	ההתנחלות בארץ		נחלות שבטי עבר הירדן		גבולות עבר הירדן המזרחי	Borders of the Tribal Portions East of the Jordan															
	יהושע	יג	טו	יהושע	יג	כג	ההתנחלות בארץ		נחלות שבטי עבר הירדן		נחלת ראובן	Tribal Portion of Reuven															
	יהושע	יג	כד	יהושע	יג	כח	ההתנחלות בארץ		נחלות שבטי עבר הירדן		נחלת גד	Tribal Portion of Gad															
	יהושע	יג	כט	יהושע	יג	לג	ההתנחלות בארץ		נחלות שבטי עבר הירדן		נחלת חצי המנשה	Tribal Portion of Half of Menashe															
	יהושע	יד	א	יהושע	יז	יז	ההתנחלות בארץ		נחלות שבטי יהודה ויוסף	Tribal Portions for Yehuda and Yosef																	
	יהושע	יד	א	יהושע	יד	ה	ההתנחלות בארץ		נחלות שבטי יהודה ויוסף		פתיחה לנחלת תשעת השבטים	Introduction to the Tribal Portions of the Nine Tribes															
	יהושע	יד	ו	יהושע	יד	ט	ההתנחלות בארץ		נחלות שבטי יהודה ויוסף		נתינת חברון לכלב	Hebron is Given to Calev															
	יהושע	טו	א	יהושע	טו	סג	ההתנחלות בארץ		נחלות שבטי יהודה ויוסף		נחלת יהודה	Tribal Portion of Yehuda															
	יהושע	טז	א	יהושע	טז	י	ההתנחלות בארץ		נחלות שבטי יהודה ויוסף		נחלת אפרים	Tribal Portion of Ephraim															
	יהושע	יז	א	יהושע	יז	יג	ההתנחלות בארץ		נחלות שבטי יהודה ויוסף		נחלת חצי המנשה	Tribal Portion of Half of Menashe															
	יהושע	יז	יב	יהושע	יז	יח	ההתנחלות בארץ		נחלות שבטי יהודה ויוסף		בקשת בני יוסף להרחבת שטחם	Yosef's Descendants Request an Extension of their Portion															
	יהושע	יח	א	יהושע	יט	נא	ההתנחלות בארץ		נחלות יתר שבעת השבטים	Tribal Portions for the Other Tribes																	
	יהושע	יח	א	יהושע	יח	י	ההתנחלות בארץ		נחלות יתר שבעת השבטים		חלוקת הנחלות בשילה	Dividing the Land Portions in Shiloh															
	יהושע	יח	יא	יהושע	יח	כח	ההתנחלות בארץ		נחלות יתר שבעת השבטים		נחלת בנימין	Tribal Portion of Binyamin															
	יהושע	יט	א	יהושע	יט	ט	ההתנחלות בארץ		נחלות יתר שבעת השבטים		נחלת שמעון	Tribal Portion of Shimon															
	יהושע	יט	י	יהושע	יט	טז	ההתנחלות בארץ		נחלות יתר שבעת השבטים		נחלת זבולון	Tribal Portion of Zevulun															
	יהושע	יט	יז	יהושע	יט	כג	ההתנחלות בארץ		נחלות יתר שבעת השבטים		נחלת יששכר	Tribal Portion of Yissachar															
	יהושע	יט	כד	יהושע	יט	לא	ההתנחלות בארץ		נחלות יתר שבעת השבטים		נחלת אשר	Tribal Portion of Asher															
	יהושע	יט	לב	יהושע	יט	לט	ההתנחלות בארץ		נחלות יתר שבעת השבטים		נחלת נפתלי	Tribal Portion of Naftali															
	יהושע	יט	מ	יהושע	יט	מח	ההתנחלות בארץ		נחלות יתר שבעת השבטים		נחלת דן	Tribal Portion of Dan															
	יהושע	יט	מט	יהושע	יט	נ	ההתנחלות בארץ		נחלות יתר שבעת השבטים		חתימה לחלוקת הנחלות	Conclusion of the Division of Land Portions															
	יהושע	כ	א	יהושע	כ	ט	ההתנחלות בארץ		ערי מקלט	Cities of Refuge																	
	יהושע	כא	א	יהושע	כא	מג	ההתנחלות בארץ		ערי הלויים	Cities of Leviim																	
	יהושע	כב	א	יהושע	כב	לד	ההתנחלות בארץ		המזבח בעבר הירדן	The Altar East of the Jordan Rier																	
	יהושע	כג	א	יהושע	כד	לג	סיום	Conclusion																			
	יהושע	כג	א	יהושע	כג	טז	סיום		נאום יהושע לפני מותו	Yehoshua's Farewell Speech																	
	יהושע	כד	א	יהושע	כד	כח	סיום		הנאום בשכם	The Speech at Shechem																	
	יהושע	כד	כט	יהושע	כד	לג	סיום		מות יהושע וסיכום התקופה	Yehoshua's Death and the End of an Era																	
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
