רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	חטיבה - אנגלית	יחידה (2)	יחידה - אנגלית	פירוט (3)	פירוט - אנגלית																
	שופטים	א	א	שופטים	ב	י	גרעונות הכיבוש	The Remaining Land																				
	שופטים	א	א	שופטים	א	כא	גרעונות הכיבוש		כיבושי יהודה ושמעון	Conquests of Yehuda and Shimon																		
	שופטים	א	כב	שופטים	א	כו	גרעונות הכיבוש		כיבוש בית אל	Conquest of Beit El																		
	שופטים	א	כז	שופטים	א	לו	גרעונות הכיבוש		הערים הכנעניות שלא נכבשו	Unconquored Canaanite Cities																		
	שופטים	ב	א	שופטים	ב	ה	גרעונות הכיבוש		תוכחת מלאך ה' בבוכים	The Angel of God at Bokhim																		
	שופטים	ב	ו	שופטים	ב	י	גרעונות הכיבוש		סיכום ימי יהושע ומות יהושע	Conclusion of the Era of Yehoshua																		
	שופטים	ב	יא	שופטים	טז	לא	סיפורי השופטים	The Judges																				
	שופטים	ב	יא	שופטים	ג	ו	סיפורי השופטים		מבוא לתקופת השופטים	Introduction to the Era of Judges																		
	שופטים	ג	ז	שופטים	ג	יא	סיפורי השופטים		עתניאל בן קנז	Otniel ben Kenaz																		
	שופטים	ג	יב	שופטים	ג	ל	סיפורי השופטים		אהוד בן גרא	Ehud ben Gerra																		
	שופטים	ג	לא	שופטים	ג	לא	סיפורי השופטים		שמגר בן ענת	Shamgar ben Anat																		
	שופטים	ד	א	שופטים	ה	לא	סיפורי השופטים		דבורה	Devorah																		
	שופטים	ד	א	שופטים	ד	כד	סיפורי השופטים		דבורה		מלחמת דבורה וברק בסיסרא	Devorah and Barak Battle Sisera																
	שופטים	ה	א	שופטים	ה	לא	סיפורי השופטים		דבורה		שירת דבורה	The Song of Devorah																
	שופטים	ו	א	שופטים	ח	לב	סיפורי השופטים		גדעון	Gideon																		
	שופטים	ו	א	שופטים	ו	י	סיפורי השופטים		גדעון		השעבוד למדין	Subservience to Midian																
	שופטים	ו	יא	שופטים	ו	לב	סיפורי השופטים		גדעון		התגלות מלאך ה' לגדעון	Gideon's Revelation																
	שופטים	ו	לג	שופטים	ח	כב	סיפורי השופטים		גדעון		מלחמת גדעון במדין	Gideon Battles Midian																
	שופטים	ח	כג	שופטים	ח	לב	סיפורי השופטים		גדעון		מנהיגות גדעון	Gideon's Leadership																
	שופטים	ח	לג	שופטים	ט	נז	סיפורי השופטים		אבימלך	Avimelekh																		
	שופטים	י	א	שופטים	י	ה	סיפורי השופטים		תולע בן פואה ויאיר הגלעדי	Tola ben Pu'ah and Yair ha-Giladi																		
	שופטים	י	א	שופטים	י	ב	סיפורי השופטים		תולע בן פואה ויאיר הגלעדי		תולע בן פואה	Tola ben Pu'ah																
	שופטים	י	ג	שופטים	י	ה	סיפורי השופטים		תולע בן פואה ויאיר הגלעדי		יאיר הגלעדי	Yair ha-Giladi																
	שופטים	י	ו	שופטים	יב	ז	סיפורי השופטים		יפתח	Yiftah																		
	שופטים	י	ו	שופטים	י	יז	סיפורי השופטים		יפתח		חטאי ישראל ותוצאותיהם	Sins and Consequences																
	שופטים	י	יח	שופטים	יא	יא	סיפורי השופטים		יפתח		בחירת יפתח למנהיג	Yiftah is Chosen by the Elders of Gilad																
	שופטים	יא	יב	שופטים	יא	לג	סיפורי השופטים		יפתח		מלחמת יפתח בבני עמון	Yiftah Battles Amon																
	שופטים	יא	לד	שופטים	יא	מ	סיפורי השופטים		יפתח		קיום נדר יפתח	Yiftah's Vow																
	שופטים	יב	א	שופטים	יב	ז	סיפורי השופטים		יפתח		מלחמת יפתח בבני אפרים	Yiftah Battles the Tribe of Ephraim																
	שופטים	יב	ח	שופטים	יב	טו	סיפורי השופטים		"אבצן, אילון ועבדון"	"Ivtzan, Eilon and Avdon"																		
	שופטים	יב	ח	שופטים	יב	י	סיפורי השופטים		"אבצן, אילון ועבדון"		אבצן	Ivtzan																
	שופטים	יב	יא	שופטים	יב	יב	סיפורי השופטים		"אבצן, אילון ועבדון"		אילון הזבולוני	Eilon ha-Zevuloni																
	שופטים	יב	יג	שופטים	יב	טו	סיפורי השופטים		"אבצן, אילון ועבדון"		עבדון בן הלל	Avdon ben Hillel																
	שופטים	יג	א	שופטים	טז	לא	סיפורי השופטים		שמשון	Shimshon																		
	שופטים	יג	א	שופטים	יג	כה	סיפורי השופטים		שמשון		בשורת הולדת שמשון	Tidings of Shimshon's Birth																
	שופטים	יד	א	שופטים	טו	ח	סיפורי השופטים		שמשון		שמשון בתמנה	Shimshon in Timna																
	שופטים	טו	ט	שופטים	טו	כ	סיפורי השופטים		שמשון		שמשון ברמת לחי	Shimshon in Ramat Lehi																
	שופטים	טז	א	שופטים	טז	ג	סיפורי השופטים		שמשון		שמשון בעזה	Shimshon in Azza																
	שופטים	טז	ד	שופטים	טז	כ	סיפורי השופטים		שמשון		שמשון ודלילה בנחל שורק	Shimshon and Delila in Nahal Sorek																
