רמה	מספר	מפרק	מפסוק	עד ספר	עד פרק	עד פסוק	חטיבה (1)	תרגום חטיבות	יחידה (2)	תרגום יחידות	פירוט (3)	תרגום פירוט															
	ויקרא	א	א	ויקרא	ז	לח	קרבנות	Korbanot - Offerings																			
	ויקרא	א	א	ויקרא	ה	כו	קרבנות		ציוויי הקרבנות לישראל	Laws of Offerings for Israel																	
	ויקרא	א	א	ויקרא	א	יז	קרבנות		ציוויי הקרבנות לישראל		עולה	Olah - Burnt Offering															
	ויקרא	ב	א	ויקרא	ב	טז	קרבנות		ציוויי הקרבנות לישראל		מנחה	Minha - Grain Offering															
	ויקרא	ג	א	ויקרא	ג	יז	קרבנות		ציוויי הקרבנות לישראל		שלמים	Shelamim - Goodwill Offering															
	ויקרא	ד	א	ויקרא	ה	יג	קרבנות		ציוויי הקרבנות לישראל		חטאת	Hatat - Sin Offering															
	ויקרא	ה	יד	ויקרא	ה	כו	קרבנות		ציוויי הקרבנות לישראל		אשם	Asham - Guilt Offering															
	ויקרא	ו	א	ויקרא	ז	לח	קרבנות		ציוויי הקרבנות לכהנים	Laws of Offerings for Kohanim																	
	ויקרא	ו	א	ויקרא	ו	ו	קרבנות		ציוויי הקרבנות לכהנים		עולה	Olah - Burnt Offering															
	ויקרא	ו	ז	ויקרא	ו	טז	קרבנות		ציוויי הקרבנות לכהנים		מנחה	Minha - Grain Offering															
	ויקרא	ו	יז	ויקרא	ו	כג	קרבנות		ציוויי הקרבנות לכהנים		חטאת	Hatat - Sin Offering															
	ויקרא	ז	א	ויקרא	ז	ו	קרבנות		ציוויי הקרבנות לכהנים		אשם	Asham - Guilt Offering															
	ויקרא	ז	ז	ויקרא	ז	י	קרבנות		ציוויי הקרבנות לכהנים		חלוקת הקרבנות לכהנים	Portions of the Offerings Given to the Kohanim															
	ויקרא	ז	יא	ויקרא	ז	לח	קרבנות		ציוויי הקרבנות לכהנים		שלמים	Shelamim
	ויקרא	ח	א	ויקרא	י	כ	חנוכת המשכן	Dedication of the Mishkan																			
	ויקרא	ח	א	ויקרא	ח	לו	חנוכת המשכן		שבעת ימי המילואים	The Seven Days of Consecration																	
	ויקרא	ח	א	ויקרא	ח	ה	חנוכת המשכן		שבעת ימי המילואים		פתיחה והכנות	Introduction and Preparation															
	ויקרא	ח	ו	ויקרא	ח	יג	חנוכת המשכן		שבעת ימי המילואים		קידוש הכהנים	Consecration of the Kohanim															
	ויקרא	ח	יד	ויקרא	ח	לו	חנוכת המשכן		שבעת ימי המילואים		הקרבת קרבנות המילואים	Offering the Korban Miluim - Consecration Offerings															
	ויקרא	ט	א	ויקרא	י	כ	חנוכת המשכן		היום השמיני	The Eighth Day																	
	ויקרא	ט	א	ויקרא	ט	כד	חנוכת המשכן		היום השמיני		קרבנות היום	The Eighth Day Offerings															
	ויקרא	י	א	ויקרא	י	ז	חנוכת המשכן		היום השמיני		חטא נדב ואביהוא	Sin of Nadav and Avihu															
	ויקרא	י	ח	ויקרא	י	יא	חנוכת המשכן		היום השמיני		איסור שתיית יין לכהנים	Prohibition for Kohanim on Duty to Drink Wine															
	ויקרא	י	יב	ויקרא	י	כ	חנוכת המשכן		היום השמיני		אכילת קרבנות היום	Eating the Eighth Day Offerings															
	ויקרא	יא	א	ויקרא	יח	ל	תורת הטומאה והטהרה	Laws of Purity and Impurity																			
	ויקרא	יא	א	ויקרא	יא	מז	תורת הטומאה והטהרה		טומאת בעלי חיים	Purity and Impurity of Animals																	
	ויקרא	יא	א	ויקרא	יא	כג	תורת הטומאה והטהרה		טומאת בעלי חיים		המותר והאסור באכילה	The Permitted and the Forbidden in Eating															
	ויקרא	יא	כד	ויקרא	יא	מ	תורת הטומאה והטהרה		טומאת בעלי חיים		טומאת מגע ומשא	Impurity Derived from Contact and Carrying															
	ויקרא	יא	מא	ויקרא	יא	מז	תורת הטומאה והטהרה		טומאת בעלי חיים		איסור אכילת שרץ הארץ																
	ויקרא	יב	א	ויקרא	יב	ח	תורת הטומאה והטהרה		טומאת יולדת	Postpartum Impurity																	
	ויקרא	יב	א	ויקרא	יב	ד	תורת הטומאה והטהרה		טומאת יולדת		טומאת יולדת זכר	Postpartum Impurity Laws for the Mother of a Male															
	ויקרא	יב	ה	ויקרא	יב	ה	תורת הטומאה והטהרה		טומאת יולדת		טומאת יולדת נקבה	Postpartum Impurity Laws for the Mother of a Female															
